solar,hum,rain,press,temp,count
30.27,89.3,0.0,991.0,6.144,nan
37.02,80.4,0.0,991.0,6.905,nan
4.339,80.2,0.0,992.0,7.189,nan
1.946,81.6,0.0,992.0,7.19,nan
2.332,79.39,0.0,993.0,7.393,nan
2.4,79.53,0.0,993.0,6.71,nan
2.659,79.02,0.0,993.0,7.194,nan
2.773,73.29,0.0,994.0,6.985,nan
2.59,77.8,0.0,994.0,6.781,nan
1.972,77.93,0.0,994.0,6.819,nan
3.958,81.6,0.0,994.0,6.695,nan
2.733,83.2,0.0,994.0,5.753,nan
2.996,94.1,0.0,994.0,5.481,nan
3.525,90.9,0.0,994.0,4.835,nan
2.394,86.2,0.0,993.0,5.491,nan
2.572,85.6,0.0,992.0,6.003,nan
2.811,87.5,0.0,991.0,6.318,nan
2.361,94.4,0.0,991.0,6.156,nan
3.005,91.9,0.0,990.0,6.643,nan
8.39,93.7,0.0,989.0,6.767,nan
15.35,93.9,0.0,988.0,7.028,nan
24.41,95.6,0.2,987.0,7.432,nan
35.59,95.5,0.0,985.0,8.34,nan
30.37,96.4,0.2,985.0,8.37,nan
18.97,97.4,0.0,984.0,8.8,nan
7.518,98.0,0.2,984.0,9.49,nan
2.978,98.6,0.0,984.0,9.66,nan
2.94,98.8,0.0,984.0,9.71,nan
2.76,98.9,0.0,984.0,9.54,nan
2.778,99.0,0.0,984.0,9.46,nan
2.673,99.0,0.0,983.0,9.49,nan
2.81,99.1,0.0,983.0,9.45,nan
2.879,99.1,0.2,982.0,9.37,nan
2.74,99.1,0.4,982.0,9.35,nan
2.761,99.2,0.0,982.0,9.2,nan
2.861,99.1,0.0,981.0,9.22,nan
2.906,99.1,0.0,981.0,9.12,nan
2.876,99.1,0.0,981.0,8.95,nan
2.809,99.3,0.0,981.0,8.99,nan
2.728,99.2,0.0,981.0,9.17,nan
2.791,99.2,0.0,981.0,9.22,nan
2.772,99.2,0.0,981.0,9.23,nan
3.235,99.4,0.0,981.0,9.06,nan
7.935,99.3,0.4,981.0,9.2,nan
13.79,99.3,0.0,981.0,9.78,nan
31.59,99.2,0.0,981.0,10.58,nan
71.91,98.7,0.0,981.0,10.91,nan
53.26,96.4,0.0,981.0,11.06,nan
11.21,92.5,0.0,981.0,10.94,nan
17.79,94.7,0.0,981.0,10.84,nan
3.457,93.4,0.0,980.0,11.04,nan
3.223,97.4,0.0,980.0,10.32,nan
2.266,92.7,0.0,979.0,11.39,nan
3.208,96.3,0.0,980.0,10.74,nan
2.818,90.3,0.0,980.0,10.8,nan
2.606,93.7,0.0,981.0,10.56,nan
3.052,91.4,0.0,980.0,10.4,nan
3.175,88.2,0.0,981.0,10.16,nan
3.299,93.0,0.0,981.0,10.1,nan
2.926,95.1,0.2,981.0,9.64,nan
2.794,94.6,0.0,981.0,9.4,nan
2.879,96.9,0.0,982.0,8.04,nan
2.814,92.3,0.0,983.0,8.38,nan
3.062,89.3,0.0,983.0,8.26,nan
3.033,89.8,0.0,983.0,7.813,nan
2.822,91.3,0.0,983.0,7.663,nan
3.643,89.7,0.0,983.0,7.19,nan
11.96,92.2,0.0,984.0,6.668,nan
66.03,86.2,0.0,985.0,7.017,nan
82.3,82.7,0.0,986.0,6.988,nan
145.9,75.07,0.0,987.0,7.098,nan
30.51,81.5,0.0,1007.0,12.06,3.6497834055314895
17.63,80.8,0.0,1006.0,11.88,nan
96.6,73.68,0.0,985.0,8.2,3.653934888490131
105.4,70.56,0.0,985.0,8.01,3.457109557109557
